,Ingredients,Cuisine
0,"['sponge', 'cut', 'bought', 'flan', 'case', 'caster', 'sugar', 'finely', 'grated', 'zest', 'lemon', 'cornflour', 'sultana', 'soaked', 'bit', 'bourbon', 'full', 'fat', 'soft', 'cream', 'cheese', 'egg', 'vanilla', 'essence', 'vanilla', 'pod', 'jack', 'daniel', 'taste', 'bourbon', 'optional', 'double', 'single', 'cream', 'banana', 'butter', 'sugar', 'caramel', 'sauce', 'maple', 'syrup', 'sprig', 'mint', 'basil']",6
1,"['sausagemeat', 'self', 'raising', 'flour', 'baking', 'powder', 'pinch', 'salt', 'buttermilk', 'free', 'range', 'egg', 'separated', 'butter', 'melted', 'plus', 'extra', 'frying', 'maple', 'syrup', 'serve']",6
2,"['self', 'raising', 'flour', 'baking', 'powder', 'ground', 'cinnamon', 'optional', 'buttermilk', 'free', 'range', 'egg', 'separated', 'butter', 'melted', 'plus', 'knob', 'frying', 'vanilla', 'extract', 'seed', 'scraped', 'vanilla', 'pod', 'blueberry', 'plus', 'extra', 'serve', 'butter', 'softened', 'pinch', 'ground', 'cinnamon', 'pinch', 'salt', 'maple', 'syrup']",6
3,"['plain', 'flour', 'baking', 'powder', 'caster', 'sugar', 'free', 'range', 'egg', 'separated', 'milk', 'butter', 'rasher', 'maple', 'cured', 'back', 'bacon', 'maple', 'syrup', 'serve']",6
4,"['plain', 'flour', 'caster', 'sugar', 'free', 'range', 'egg', 'white', 'lemon', 'grated', 'zest', 'lemon', 'juice', 'cream', 'tartar', 'salt', 'free', 'range', 'egg', 'yolk', 'caster', 'sugar', 'lemon', 'juice', 'approximately', 'lemon', 'grated', 'zest', 'unsalted', 'butter', 'cubed', 'passion', 'fruit', 'whipping', 'cream', 'vanilla', 'extract']",6
5,"['bramley', 'apple', 'blueberry', 'unsalted', 'butter', 'caster', 'sugar', 'ground', 'almond', 'egg', 'almond', 'sliced', 'finely']",6
6,"['runny', 'honey', 'braeburn', 'apple', 'peeled', 'diced', 'chinese', 'five', 'spice', 'powder', 'ground', 'mixed', 'spice', 'free', 'range', 'egg', 'beaten', 'toasted', 'sesame', 'oil', 'semi', 'skimmed', 'milk', 'banana', 'mashed', 'self', 'raising', 'flour', 'granulated', 'sweetener', 'bicarbonate', 'soda', 'raisin', 'rolled', 'oat', 'light', 'brown', 'sugar']",6
7,"['white', 'chocolate', 'roughly', 'use', 'chocolate', 'chip', 'golden', 'syrup', 'unsalted', 'butter', 'plus', 'extra', 'greasing', 'pinch', 'salt', 'ground', 'cinnamon', 'cinnamon', 'biscuit', 'digestive', 'white', 'mini', 'marshmallow', 'find', 'big', 'marshmallow', 'use', 'scissors', 'chop', 'piece', 'dried', 'apple', 'piece', 'raisin', 'icing', 'sugar', 'dusting']",6
8,"['salt', 'bone', 'chicken', 'thigh', 'chicken', 'drumstick', 'buttermilk', 'vegetable', 'oil', 'deep', 'frying', 'fresh', 'pineapple', 'chunk', 'cider', 'vinegar', 'head', 'purple', 'cabbage', 'thinly', 'shredded', 'chipotle', 'chilli', 'adobo', 'sauce', 'julienned', 'jalapeno', 'chilli', 'seed', 'viens', 'removed', 'finely', 'julienned', 'carrot', 'shaved', 'ribbon', 'using', 'peeler', 'garlic', 'clove', 'peeled', 'lightly', 'crushed', 'white', 'onion', 'thinly', 'sliced', 'mexican', 'oregano', 'mediterranean', 'oregano', 'salt', 'yellow', 'coarse', 'polenta', 'plain', 'flour', 'light', 'brown', 'sugar', 'baking', 'powder', 'salt', 'free', 'range', 'egg', 'milk', 'butter', 'clear', 'honey', 'taste', 'lard', 'flour', 'rice', 'flour', 'cornflour', 'cayenne', 'pepper', 'garlic', 'powder', 'onion', 'powder', 'sea', 'salt', 'paprika', 'baking', 'powder']",6
9,"['back', 'bacon', 'slice', 'fat', 'trimmed', 'little', 'gem', 'lettuce', 'leaf', 'separated', 'avocado', 'peeled', 'stone', 'removed', 'squeeze', 'lemon', 'juice', 'olive', 'oil', 'garlic', 'clove', 'crushed', 'dijon', 'mustard', 'thick', 'slice', 'bread', 'cut', 'chunk', 'oil']",6
10,"['red', 'onion', 'thinly', 'sliced', 'tin', 'cannellini', 'bean', 'drained', 'rinsed', 'avocado', 'peeled', 'stoned', 'thickly', 'sliced', 'cherry', 'tomato', 'quartered', 'fresh', 'basil', 'roughly', 'lemon', 'juice', 'extra', 'virgin', 'olive', 'oil', 'salt', 'freshly', 'ground', 'black', 'pepper']",6
11,"['corn', 'oil', 'smoked', 'streaky', 'bacon', 'diced', 'spring', 'onion', 'finely', 'corn', 'kernel', 'dried', 'chilli', 'flake', 'polenta', 'plain', 'flour', 'caster', 'sugar', 'baking', 'powder', 'baking', 'soda', 'salt', 'buttermilk', 'egg', 'lightly', 'beaten', 'maple', 'syrup', 'ground', 'black', 'pepper', 'unsalted', 'butter', 'melted']",6
