,Ingredients,Cuisine
0,"25cm/10in sponge (cut from a large bought flan case) 200g/7oz caster sugar  finely grated zest of 3 lemons  4 tbsp cornflour  3 tbsp sultanas, soaked in a bit of bourbon  845g/29¾oz full fat soft cream cheese  3 medium eggs  7.5ml/1½ tsp vanilla essence  1 vanilla pod  Jack Daniels to taste or bourbon (optional)  375ml/12½fl oz double or single cream  10 small bananas  25g/1oz butter  2 tbsp sugar  caramel sauce or maple syrup  sprig of mint or basil ",6
1,"500g/1lb 2oz sausagemeat 450g/1lb self-raising flour 1 tsp baking powder pinch of salt 600ml/20fl oz buttermilk 3 large free-range eggs, separated 50g/1¾oz butter, melted, plus extra for frying  maple syrup, to serve ",6
2,"450g/1lb self-raising flour 1 tsp baking powder ½ tsp ground cinnamon (optional) 600ml/20fl oz buttermilk 3 large free-range eggs, separated 50g/1¾oz butter, melted, plus a small knob for frying 1 tsp vanilla extract, or seeds scraped from 1 vanilla pod 300g/10½oz blueberries, plus extra to serve 150g/5½oz butter, softened pinch of ground cinnamon small pinch salt  4 tbsp maple syrup ",6
3,"175g/6oz plain flour 1 tsp baking powder 25g/1oz caster sugar 2 free-range eggs, separated 250ml/9fl oz milk 25g/1oz butter 12 rashers maple-cured back bacon maple syrup, to serve ",6
4,"125g/4½oz plain flour 300g/10½oz caster sugar 10 large free-range egg whites 2 large lemons, grated zest only 1 tbsp lemon juice 1 tsp cream of tartar  ½ tsp salt 10 large free-range egg yolks 400g/14oz caster sugar 4 large lemons, juice only (approximately 200ml/7fl oz)  2 large lemons, grated zest only 175g/6oz unsalted butter, cubed 2 passion fruit 300ml/10fl oz whipping cream ½ tsp vanilla extract ",6
5,"750g/1lb 10oz Bramley apples  250g/9oz blueberries 200g/7oz unsalted butter 200g/7oz caster sugar 200g/7oz ground almonds 3 eggs 55g/2oz almonds, sliced finely ",6
6,"3 tbsp runny honey 2 medium Braeburn apples, peeled and diced 1 tsp Chinese five-spice powder 1 tsp ground mixed spice 2 large free-range eggs, beaten 3 tbsp toasted sesame oil 200ml/7fl oz semi-skimmed milk 2 small bananas, mashed 300g/10½oz self-raising flour 2–3 tsp granulated sweetener 1 tsp bicarbonate of soda 40g/1½oz raisins 1 tbsp rolled oats 1 tbsp light brown sugar ",6
7,"200g/7oz white chocolate, roughly chopped (or use chocolate chips) 2 tbsp golden syrup 130g/4½oz unsalted butter, plus extra for greasing pinch of salt  ½ tsp ground cinnamon  200g/7oz cinnamon biscuits (or digestives)  100g/3½oz white mini marshmallows (if you can only find big marshmallows, use scissors to chop them into small pieces)  100g/3½oz dried apples, chopped into small pieces  50g/1¾oz raisins  1 tbsp icing sugar, for dusting  ",6
8,"50g/1¾oz salt 4 bone-in chicken thighs 4 chicken drumsticks 500ml/18fl oz buttermilk vegetable oil, for deep-frying 75g/2½oz fresh pineapple chunks 180ml/6fl oz cider vinegar ¼ head purple cabbage, thinly shredded 6 chipotle chillies in adobo sauce, julienned 6 jalapeno chillies, seeds and viens removed, finely julienned 2 carrots, shaved into ribbons using a peeler 6 garlic cloves, peeled and lightly crushed  1 white onion, thinly sliced 2 tbsp Mexican oregano (or 1 tbsp Mediterranean oregano) 1 tbsp salt  150g/5½oz yellow coarse polenta 150g/5½oz plain flour 50g/1¾oz light brown sugar ½ tsp baking powder 10g salt 2 free-range eggs 240ml//8½fl oz milk 15g/½oz butter clear honey, to taste 2 tbsp lard 200g/7oz flour 100g/3½oz rice flour 4 tbsp cornflour ¼ tsp cayenne pepper ½ tsp garlic powder ½ tsp onion powder 1 tbsp sea salt 1 tsp paprika  1 tsp baking powder ",6
9,"2 back bacon slices, fat trimmed 1 Little Gem lettuce, leaves separated, chopped 1 avocado, peeled, stone removed, chopped squeeze of lemon juice  2 tbsp olive oil ¼ garlic clove, crushed ¼ tsp Dijon mustard 2 thick slices bread, cut into chunks 1 tbsp oil ",6
