recipe,type
"500g/1lb 2oz strong plain flour, plus extra for dusting 1 x 7g sachet easy-blend dried yeast  1 tbsp soft light brown sugar  1 tbsp sea salt flakes  350ml/12¼fl oz warm water vegetable oil, for greasing  275g/9¾oz butter, plus extra to serve  100g/3½oz lard  ready-made jam, to serve ",british
"500g/1Ib 2oz small currants 140g/5oz raisins 140g/5oz mixed peel 500ml/17fl oz bottle strong bottled beer, such as Black Sheep Brewery Riggwelter Strong Ale 180g/7oz soft dark brown sugar 150g/5½oz self-raising flour 180g/7oz wholemeal self-raising flour 3 tsp mixed spice 3 free-range eggs ",british
"dash olive oil 1 red onion, chopped 1 garlic clove, chopped 300g/10½oz baby spinach 2 tbsp mascarpone good grating of fresh nutmeg 15 slices pancetta (or 6 slices good-quality cooked ham) 2 tbsp olive oil 3 large shallots, finely chopped 100g/3½oz chestnut mushrooms, chopped 2 tsp chopped sage 4 tsp chopped parsley  1 garlic clove, finely chopped 2 tbsp white wine 5 dried apricots, chopped 120g/4½oz fresh breadcrumbs 3–4 tbsp chicken stock, to bind 1 large turkey breast, skin on, butterflied (ask your butcher to do this) salt and freshly ground black pepper 75g/2½oz butter 150ml/5fl oz cider 2 tbsp butter 2 tbsp flour 1 shallot, finely chopped  2 sage leaves, finely chopped 50ml/2fl oz brandy (or calvados) 120ml/4fl oz chicken stock 80ml/2¾fl oz double cream large knob butter 8 small red apples, quartered and cored 1 tbsp caster sugar few sage leaves sprigs of rosemary, to garnish ",british
"100ml/3½fl oz milk 200ml/7fl oz double cream 1 vanilla pod 3 egg yolks 55g/2oz caster sugar 1 tbsp amaretto, warmed up ",british
"1 shoulder of pork weighing approximately 4kg/8lb 2oz skin scored 4 garlic cloves, peeled and roughly chopped 4cm/1½inch piece fresh root ginger, peeled and roughly chopped 3 tbsp olive oil 4 tbsp white wine vinegar ",british
"900g/2lb bramley apples 350-400g/12oz-1lb blackberries 175g/6oz demerara sugar 2 lemons 225g/8oz plain flour 175g/6oz butter 55g/2oz demerara sugar 125g/4oz muesli or a mixture of oats, seeds and chopped nuts ",british
"100g/3½oz cold butter, cut into small pieces 125g/4½oz plain flour 75g/2½oz demerara sugar 75g/2½oz roughly chopped nuts (optional) 500g/1lb 2oz cooking apples (2 medium–large)  400g/14oz pears (2 medium–large) ½ tsp ground cinnamon 2 tbsp runny honey yoghurt, custard or cream, to serve ",british
"6 tbsp sunflower oil 200g/7oz soft brown sugar 1 free-range egg, beaten 250ml/9fl oz buttermilk 1½ tsp vanilla extract 85g/3oz rhubarb, cut into 1cm/½in pieces 85g/3oz apple, peeled, cored and diced 55g/2oz walnuts, chopped  1 tbsp baking powder 250g/9oz plain flour, sifted  55g/1oz oat bran 1 tbsp demerara sugar ¼ tsp ground cinnamon ¼ tsp ground nutmeg ",british
"2 red onions, sliced into thin rings 3 tbsp white wine vinegar 2 lemons, juice only 1 tbsp caster sugar 5 cloves 1 cinnamon stick 100g/3½oz golden sultanas 3 eating apples, such as Cox's Orange Pippin, peeled, cores removed, roughly chopped 1 lemon, juice only  320g/11¼oz ready-made all-butter puff pastry plain flour, for dusting 160g/5½oz Stilton 1 free-range egg, beaten 2 tbsp nigella seeds  ",british
"50g/2oz butter, plus extra for greasing 1.5kg/3lb 4oz Bramley apples, peeled, cored and cut into chunks 4 tbsp caster sugar 6 sprigs fresh lemon thyme, leaves only 150g/6oz butter 300g/12oz plain flour 150g/6oz caster sugar 200ml/7fl oz milk 200ml/7fl oz double cream 4 sprigs fresh thyme, leaves only 6 free-range egg yolks 75g/3oz caster sugar ",british
"350g/12oz plain flour 175g/6oz cold unsalted butter, cut into roughly 1cm cubes, plus extra for greasing 500g/1lb 2oz cooking apples 500g/1lb 2oz eating apples 100g/3½oz caster sugar 125g/4½oz Wensleydale cheese, crumbled a little milk about 1 tbsp caster sugar ",british
