recipe,type
"1.5kg/3lb 5oz belly pork, with rind still on 570ml/1 pint pork or chicken stock (if available, otherwise water) 12 spring onions 100ml/3½fl oz light soy sauce 75ml/2½fl oz Chinese rice wine 25ml/1fl oz rice wine vinegar 2 tbsp demerera (or light brown) sugar 3 star anise 10cm/4in piece of fresh ginger root, peeled and sliced in rounds a good pinch of dried chilli flakes ",chinese
"½ tsp garlic granules 2 tsp toasted sesame oil 1 tsp mirin  1½ tbsp dark soy sauce 1½ tbsp runny honey pinch dried red chilli flakes 4 boneless chicken thighs, skin removed, halved 4 spring onions, thinly sliced 1-2 tsp sesame seeds 1 lime, cut into wedges, to serve ",chinese
"2 tbsp dried Chinese wood ear mushrooms 2 tbsp olive oil 1 onion, finely chopped 1 garlic clove, finely chopped 1 tsp ginger 1 tsp ground cumin 1 aubergine, peeled and diced 1 tbsp hoisin sauce  50m/2fl oz vegetable stock 1 tsp cornflour  1 tsp soy sauce, to taste freshly ground black pepper 7g fresh yeast  280g/10oz strong white flour, plus extra for dusting pinch caster sugar pinch salt 2 tbsp vegetable oil 1 tsp custard powder  1 tbsp black sesame seeds 50ml/2fl oz Chinese black vinegar  1 tbsp grated fresh root ginger 1 tbsp chilli oil 2 tsp caster sugar  50ml/2fl oz soy sauce ",chinese
"350g/12oz beef fillet 1 tsp light soy sauce 1½ tbsp oyster sauce  pinch sugar salt and freshly ground black pepper 2 tbsp groundnut oil  3 cloves garlic, finely chopped 1 chilli, de-seeded, finely chopped 200g/7oz baby spinach leaves 1 tbsp Shaoxing rice wine or dry sherry pinch dried chilli flakes  1 tsp groundnut oil  100g/3½oz oyster mushrooms dash Chinese black rice vinegar or balsamic vinegar dash light soy sauce ",chinese
"450g/1 lb fillet of beef, cut into 5cm/2in thin strips 1 tbsp light soy sauce 2 tsp sesame oil 1 tbsp Shaoxing rice wine or dry sherry 2 tsp cornflour 3 tbsp groundnut or vegetable oil 3 tbsp oyster sauce 1½ tbsp finely chopped spring onions 2 tsp Dijon mustard 2 tsp Madras curry powder 2 tbsp light soy sauce  2 tsp salt 1 tsp freshly ground black pepper 4 tbsp extra virgin olive oil  100g/3½oz broccoli florets, cut into small florets 100g/3½oz French beans, trimmed  100g/3½oz cauliflower florets, cut into small florets 100g/3½oz peas 225g/8oz fresh tomato, peeled, seeds removed, chopped 50g/2 oz fresh water chestnuts, peeled, sliced 3 tbsp finely chopped shallots, squeezed dry through a linen cloth  3 tbsp finely chopped fresh chives ",chinese
"450g/1lb lean beef fillet, cut into thin slices 2 tsp light soy sauce 1 tsp rice wine or dry sherry 1 tsp cornflour 2 tbsp groundnut oil 225g/8oz onion, thickly sliced 3 tbsp water 2 tbsp oyster sauce small handful fresh mint leaves 175g/6oz bean thread (glass) noodles 1 tbsp groundnut oil 2 tbsp black beans, coarsely chopped 3 tbsp spring onions, finely chopped 2 tbsp garlic, coarsely chopped 1 tbsp ginger, finely chopped 110g/4oz carrots, finely chopped 110g/4oz bean curd, finely chopped 225g/8oz Chinese flowering cabbage or pak choi, finely chopped 250ml/9fl oz water 2 tbsp Shaoxing rice wine or dry sherry  1½ tbsp chilli bean sauce, from a jar 1 tbsp whole yellow bean sauce, from a jar 2 tbsp light soy sauce 2 tsp dark soy sauce ½ tsp salt ½ tsp freshly ground black pepper 2 tsp sesame oil 2 tsp spring onions, finely chopped, to serve ",chinese
"150g/5oz scotch beef fillet, sliced thinly 20ml/¾fl oz sake 20ml/¾fl oz soy sauce 1 tsp grated fresh ginger ½ tsp soft brown sugar ½ garlic clove, finely chopped 1 small red chilli, finely chopped 110g/4oz asparagus, chopped into thin sticks (julienne) 75g/3oz mangetout, chopped into thin sticks (julienne) 2 tsp sesame oil salt and freshly ground black pepper  2 tsp sesame seeds, to serve 2 sprigs fresh coriander, to garnish ",chinese
"75g/3oz dried vermicelli noodles 8 scallops, removed from the shells, de-bearded and coral removed, shells cleaned and reserved  6 cloves garlic, finely chopped 2.5cm/1in piece fresh root ginger, peeled, finely chopped 1 red chilli, de-seeded, finely chopped 1 tbsp fermented salted black beans, washed and crushed into a paste (available from Asian grocers) 1 tbsp Shaoxing rice wine or dry sherry 2 tbsp light soy sauce  3 tbsp water 2 tbsp finely chopped fresh chives or spring onions ",chinese
"1 tbsp light soy sauce 2 tbsp dry sherry 2 garlic cloves, peeled, finely chopped 1 tbsp freshly cracked black pepper 1 tbsp cornflour 500g/1lb 2oz beef fillet, finely sliced 2 tbsp vegetable oil 2 red peppers, seeds removed, finely sliced 2 tbsp oyster sauce 1 tbsp dark soy sauce 1 tbsp sesame oil 50-75ml/2-3fl oz water 2 tbsp groundnut oil 200g/7oz basmati rice, cooked according to packet instructions, drained and cooled completely 2 large free-range eggs, lightly beaten 2 tsp sesame oil 4 spring onions, finely sliced 3 tbsp finely chopped fresh coriander leaves ",chinese
"3 cloves garlic, crushed 2 tsp coriander root, chopped 2 tsp light soy sauce 1 tsp sugar 4 tbsp groundnut oil 1 tsp sesame oil 1 packet firm tofu (bean curd), cut in half horizontally, then each piece cut into 8 triangles (16 triangles in total) 6 tbsp groundnut oil 150ml/5fl oz vegetable stock 2 tbsp light soy sauce 1 tbsp tomato purée 1 tbsp rice or white wine vinegar 1 heaped tsp arrowroot 1 tsp coarsely ground black pepper 2 tsp sesame oil For garnish: ½ cucumber, halved and sliced thinly 4 spring onions, shredded ",chinese
