recipe,type
"3 free-range egg yolks 4 cloves garlic ½ lemon, juice only salt and freshly ground black pepper 150ml/5fl oz extra virgin olive oil mustard powder, optional saffron, optional ",french
"75g/2½oz salted butter 4 shallots, finely chopped 200g/7oz Parmesan, grated 70g/2½oz Mrs Temple's Alpine cheese or Gruyère, grated 200ml/7fl oz double cream 350ml/12fl oz chicken stock  salt and white pepper  pickled asparagus, cut into small pieces   wild garlic leaves (optional) crispy fried shallots  rocket cress selection edible flowers (optional) ",french
"60g/2½oz anchovy fillets, roughly chopped 4 cloves garlic, roughly chopped 2 shallots, roughly chopped 1 tbsp red wine vinegar handful parsley, finely chopped 150ml/5fl oz extra virgin olive oil freshly ground black pepper ",french
"50ml/2fl oz extra virgin olive oil 4 cloves garlic, roughly chopped 2 shallots, roughly chopped 110ml/4fl oz white wine 60g/2½oz white anchovy fillets, roughly chopped 1 free-range egg yolk 110ml/4fl oz double cream freshly ground black pepper selection of washed raw vegetables: celery, carrot sticks, cucumber sticks, radishes, strips of fennel, strips of peppers, cherry tomatoes on sticks, etc. ",french
"2 garlic cloves, peeled, finely chopped 175ml/6fl oz extra virgin olive oil  2 tbsp red wine vinegar pinch sea salt freshly ground black pepper 4 free-range eggs 8 small artichoke hearts, cooked (from a jar is fine) 4 very ripe tomatoes, skinned and quartered 16 black olives ½ cucumber, peeled, sliced 4 spring onions, sliced handful fine green beans, topped, tailed, blanched 1 tin anchovies in olive oil (or 1 tin good-quality tuna belly in olive oil) 1 tbsp freshly chopped chervil small handful fresh basil ",french
"250g/9oz plain flour, plus extra for dusting 250g/9oz very cold butter, cut into small cubes ½ tsp salt 125ml/4½fl oz ice cold water 3 free-range egg yolks 120g/5oz caster sugar 20g/¾oz plain flour 250ml/9fl oz milk ½ vanilla pod, split lengthways 1 tbsp icing sugar 3 medium Cox apples, peeled and thinly sliced 3 passion fruit, pulp and seeds scraped out, to serve ",french
"175g/6oz caster sugar 75g/3oz butter 3 tbsp water 50g/2oz dried cranberries 50g/2oz sultanas 50g/2oz raisins 1kg/2lb 2oz dessert apples, such as Cox's Orange Pippin, peeled, cored and quartered 200g/7oz filo pastry, cut into 5cm/2in-wide strips ½ tsp ground cinnamon 1 clementine, zest only 1 lemon, zest only 75g/3oz clarified butter 4 free-range egg yolks 40g/1½oz caster sugar 150ml/5fl oz milk 150ml/5fl oz double cream 2-3 tbsp Armagnac ",french
"250g/9oz plain flour pinch sea salt 125g/4oz unsalted butter, diced, at room temperature 1 tsp cold water 1 medium free-range egg 15g/½oz unsalted butter  ½ tbsp lemon juice 65g/2½oz caster sugar ½ tbsp calvados 3-4 Cox's Orange Pippin, Worcester, Russet or Braeburn apples, peeled, cores removed, each cut into 10 segments 100ml/3½fl oz double cream 1 medium free-range egg 1-2 tbsp icing sugar, for dusting ",french
"3 Bramley apples, peeled, cores removed, roughly chopped 2 tbsp water 450g/1lb ready-made puff pastry 1 free-range egg yolk, beaten 2 Bramley apples, peeled, cores removed, thinly sliced 75g/3oz butter, melted 4 tbsp caster sugar vanilla ice cream icing sugar, for dusting ",french
"320g/11oz plain flour 225g/8oz ice-cold butter 110g/4oz icing sugar 3 free-range egg yolks 6 Cox or 4 Granny Smith apples, peeled, cored and cut into 8-12 wedges ¼ lemon 110g/4oz caster sugar 110g/4oz butter double cream or vanilla ice cream ",french
