recipe,type
"250g/9oz wholemeal flour, plus extra for dusting ¼ tsp salt 7 tsp olive oil 1½ tsp ajwain seeds  ",indian
"175g/6oz basmati rice 2 tbsp sunflower oil 1 onion, thinly sliced 1 tsp cumin seeds ½ cinnamon stick 2 cloves 2 cardamom pods 2 tbsp sunflower oil 20g/¾oz butter 1½ onions, diced 3cm/1¼in fresh root ginger, peeled and grated 1½ tsp turmeric 1½ tsp cumin seeds  1 tsp black mustard seeds 1 tsp chopped fresh green chilli (adjust to taste) 1 large potato chopped into 1cm/½in cubes 6–8 baby aubergines (or two medium aubergines), chopped into 2cm/¾in cubes 25g/1oz fresh fenugreek leaves (methi), chopped (or 3 tbsp dried methi) 1 tsp garam masala small bunch fresh coriander, finely chopped salt ",indian
"3 medium–large floury potatoes (about 500g/1lb 2oz in weight), peeled and chopped into bite-sized pieces  1 tbsp vegetable oil 1 large brown onion, finely chopped  2 tsp cumin seeds 1 star anise 2 tsp sea salt, plus extra if desired 2 large garlic cloves, crushed  4cm/1½in piece fresh root ginger, peeled and finely grated  ½ chilli, finely chopped, plus extra if desired 1½ tsp garam masala 1 tsp turmeric few sprigs fresh coriander, leaves and stalks separated and both finely chopped (about 1 pinch stalks, 2 pinches leaves, or to taste) 50g/1¾oz unsalted butter  1 small head of cauliflower, cut into small florets ",indian
"350g/12oz basmati rice 2 tbsp sunflower oil 1 large onion, thinly sliced 2 tsp cumin seeds 1 bay leaf 1 cinnamon stick 3 green cardamom pods 2 tbsp sunflower oil 25g/1oz butter (or alternative) 2 tsp cumin seeds  2 tsp ground turmeric 4cm/1½in fresh root ginger, finely grated 2 onions, roughly chopped 2 tsp freshly chopped green bird’s-eye chillies (or to taste)  3 tbsp dried fenugreek leaves (methi)  1 cauliflower, broken into florets, leaves chopped  2 large potatoes, cut into 2cm/¾in cubes 2 tsp garam masala salt and freshly ground black pepper handful fresh coriander, to garnish  ",indian
"1-2 tbsp vegetable oil 1kg/2lb potatoes, peeled and diced into 1cm/½in cubes ½ tsp dried turmeric ½ tsp red chilli powder salt 1 tbsp cumin seeds 1 tbsp fennel seeds 1 tbsp fenugreek seeds 1 tbsp nigella seeds 1 tbsp black mustard seeds 1 tsp vegetable oil 2 tsp five spice mix (panchphoran)  1 green chilli finely chopped 1 tbsp fresh coriander, chopped ",indian
"200g/7oz dried chickpeas, soaked in water overnight 100g/3½oz chana dal, soaked in water overnight 2 tbsp sunflower oil 2 onions, roughly chopped 3cm/1¼in fresh root ginger, finely grated 1½ tsp cumin seeds 1 cinnamon stick 2 black cardamoms, lightly crushed 2–3 cloves 1 small green chilli, finely chopped 1 tsp salt 1½ tbsp anardana powder (crushed pomegranate), or 1 tbsp pomegranate molasses 1 tsp garam masala  50g/1¾oz pomegranate seeds, to garnish handful coriander, finely chopped, to garnish ",indian
"125ml/4fl oz ghee or vegetable oil 400g/14oz beef braising steak, diced into 3cm chunks 1 medium onion, diced 2 garlic cloves, finely chopped 1 tsp ground cumin 1 tsp ground coriander 1 tsp ground turmeric 1 tsp ground black pepper 1 tsp chilli powder ½ tsp ground ginger 3 cloves 3 cardamom pods (optional) ½ tsp ground cinnamon ½ x 400g/14oz can chopped tomatoes 125g/4½oz natural yoghurt 1 tbsp vinegar salt pinch sugar ",indian
310g/11oz baby salad potatoes 3 tbsp oil ¼ tsp fennel seeds (or ½ tsp sugar (if preferred) ¼ tsp salt pinch of garam masala ¼ tsp chilli powder ,indian
"1 large cauliflower, left whole 4 tbsp coconut oil 2.5cm/1in piece fresh root ginger, peeled and grated 4 green chillies, finely chopped and seeds removed 4 garlic cloves, crushed 1 tbsp black mustard seeds 2 tsp ground turmeric 400ml tin coconut milk 1 unwaxed lemon, halved 600g/1lb 5oz potatoes, scrubbed, skin left on and cut into 2cm/¾in pieces salt and freshly ground black pepper 50g/1¾oz Greek-style yoghurt (or a thick dairy-free alternative), to serve 25g/1oz blanched almonds, to serve coriander leaves, to serve 200g/7oz plain flour, plus extra for dusting  1 tsp baking powder  200g/7oz Greek-style yoghurt or 150ml/5fl oz warm water  ",indian
"2 tbsp tomato purée 1 tbsp Dijon mustard 1 tsp ground cumin 1 tsp garam masala 1 tbsp lemon juice  ½ tsp salt  ¼ tsp chilli powder  100ml/3½fl oz single cream 4 boned, skinned chicken breasts (weighing approximately 560g/1 lb 4oz in total) salt and freshly ground black pepper, to taste 4 tbsp vegetable oil  5cm/2in piece cinnamon stick  6 cardamom pods, cracked open 6 cloves  140g/5oz onions, cut into fine half-rings 2.5cm/1in piece fresh root ginger, peeled and cut into fine slices, then into fine strips 1-3 hot green chillies, cut at a diagonal into fine strips ½ tsp black or yellow mustard seeds 1 clove garlic, finely chopped cooked basmati rice, to serve ",indian
"100g/4oz potatoes, peeled 100g/4oz carrots, chopped  100g/4oz peas 2 tbsp olive oil ¼ tsp cumin seeds 1 onion, chopped 2 green chillies, finely chopped ¼ tsp salt ¼ tsp ground coriander pinch garam masala handful of coriander leaves, chopped 300g/11oz wholemeal flour, plus a little extra for the ‘glue-like paste’ and a little extra for flouring 2 tsp olive oil pinch of salt tomato chutney or ketchup, to serve ",indian
"150 ml/¼ pint clarified butter, (unsalted butter, melted and strained through a sieve) 125g/5 oz semolina 100g/4oz sugar 1 medium banana, ripe 550ml/1 pint milk, warmed ¼ tsp saffron strands, soaked in 1 tbsp milk pinch of grated nutmeg 1 tbsp sultanas 1 tsp cardamom seeds, crushed 1 tbsp flaked almonds, lightly toasted ",indian
"1 head garlic, cloves separated and peeled 100g/3½oz fresh root ginger, peeled  3 tbsp vegetable oil 5 tbsp ghee 8 cardamom pods  4 bay leaves 4 cinnamon sticks 5 onions, finely chopped 1 tbsp salt 1 whole chicken, jointed, skin removed  steamed pilau rice, to serve ",indian
"1 bay leaf 10 black peppercorns 5cm/2in piece of cinnamon stick 6 green cardamom pods 4 cloves ¼ tsp grated nutmeg 1 blade of mace 2 garlic cloves, peeled 1 tbsp vegetable oil 2 tbsp vegetable oil 3 onions, finely sliced 1 tbsp ginger-garlic paste (pound equal quantities of garlic and ginger with a little water) salt, to taste 1 tsp red chilli powder 1 tsp ground cumin 1 tsp ground coriander 1 tsp medium curry powder 3 plum tomatoes, roughly chopped 2 tbsp finely chopped fresh coriander 2 tbsp vegetable oil 500g/1lb 2oz venison fillet 4 tbsp coriander cress, to garnish steamed basmati rice, to serve ",indian
