recipe,type
6 large free-range eggs  100ml/3½fl oz light soy sauce  100ml/3½fl oz mirin  100ml/3½fl oz sake 6 tbsp caster sugar  ,japanese
"150g/5½oz cod or haddock fillet, boneless 1 tbsp soy sauce 1 tbsp mirin  1 tsp rice vinegar  2 tsp sunflower oil  ½ red pepper (60g/2¼oz), thinly sliced 1 small carrot (50g/1¾oz), thinly sliced 50g/1¾oz mangetout, thinly sliced  1 tsp toasted sesame seeds few sprigs fresh coriander (optional) ",japanese
"175ml/6fl oz liquid instant dashi  150ml/5fl oz soy sauce 50ml/1¾fl oz mirin  2 tbsp groundnut oil  2 tsp sesame oil 450g/1lb fillet or well-trimmed rib-eye beef steak, thinly sliced (a little thicker than carpaccio) 1½ tbsp sugar  12 button mushrooms, sliced 4 brown cap mushrooms sliced 100g/3½oz enoki mushrooms, split into 4 6 fresh shiitake mushrooms (remove stalks and cut in ½) ½ Chinese cabbage (ideally Napa cabbage) sliced 2.5cm/1in thick  1½ sticks celery, sliced on a diagonal 5mm/¼in thick  160-175g/5¾-6oz block firm tofu, cubed  200g/7oz sliced bamboo shoots sliced, vacuumed-packed (alternatively used canned and drained bamboo shoots)  6 spring onions, cut into 2.5cm/1in pieces on a slant  cooked rice, to serve ",japanese
"4 black cod fillets, about 150–200g/5½–7oz each, pin-boned 4 stalks hajikami or 50g/1¾oz pickled ginger, to serve 50g/1¾oz lotus root or taro chips, to serve, optional 50ml/2fl oz sake 100ml/3½fl oz mirin 400g/14oz white miso paste 125g/4½oz caster sugar 200ml/7fl oz dashi stock or fish stock 2 tbsp dark soy sauce 1 tbsp caster sugar 500g/1lb 2oz large leaf spinach 50g/1¾oz sesame seeds ",japanese
"1 tbsp vegetable oil 2 x 200g/7oz black cod fillets 150ml/5fl oz sake 150ml/5fl oz mirin 4 tbsp white miso paste 2 tbsp caster sugar  2 bok choi 2 pak choi 400g/14oz Chinese broccoli 1 tbsp light soy sauce 1 tbsp dark soy sauce 3 garlic cloves, thinly sliced thumb-sized piece fresh root ginger, peeled and cut into thin batons 1 tbsp vegetable oil 1 tsp sesame oil 250g/9oz cold cooked rice 1 tbsp sesame seeds, toasted 3 spring onions, finely chopped  300g/10½oz kimchi, finely chopped 200ml/7fl oz kimchi juice (from the jar) or 1 tbsp Korean chilli paste 1 bunch enoki mushrooms ",japanese
"60ml/2¼fl oz sake 60ml/2¼fl oz mirin 4 tbsp white miso paste 3 tbsp caster sugar 4 x 150g/5¼oz salmon fillets 1 aubergine 8 baby aubergine 2cm/1in root ginger, peeled, thinly sliced 4 tbsp miso paste 2 tbsp caster sugar 2 tbsp mirin 1 tbsp soy sauce corinader cress red amaranth cress ",japanese
"200g/7oz sugar 200ml/7fl oz white wine vinegar 3 chillies  5g fresh root ginger, grated  1 garlic clove, grated 900g/2lb beef shank  550g/1lb 4oz oxtail  450g/1lb chicken backs, cut into pieces (alternatively use chicken neck or wings) 450g/1lb pork bones (preferably neck bones, but you can use hocks) pinch salt 225g/8oz pork fat from the back (Optional. You will only need this if your other meat is very lean)  3 tbsp soy sauce, to taste 1 tbsp sake, to taste 1 tbsp mirin, to taste 75g/2½oz plain flour 4 free-range egg whites 150g/5½oz breadcrumbs 2 x pork cutlets, flattened ¼ daikon, grated ¼ small white cabbage, thinly sliced 400g/14oz ramen noodles (preferably freshly-made alkaline noodles) or run frozen ramen dough across a mandolin to make big coins or strips ½ bunch spring onions, thinly sliced  100g/3½oz napa cabbage, sliced 150g/5½oz beansprouts  2 garlic cloves, thinly sliced 100ml/3½fl oz ponzu sauce ",japanese
"175ml/6fl oz dark soy sauce 120ml/4fl oz sake 3 tbsp mirin 2 tbsp oyster or teriyaki sauce  75g/2½oz sugar 500g/1lb 2oz skin-on piece pork belly, rolled  ½ leek, sliced (or 1 small onion, sliced) 4 whole garlic cloves, peeled  4cm/1½in piece ginger, thickly sliced ",japanese
"750g/1lb 10oz ramen noodles (alternatively use udon noodles)  drizzle sesame oil  2.5 litres/4½ pints toridashi stock 30g/1oz fresh root ginger, cut into 4 thick slices  2 garlic cloves, cut into slithers  10 fresh shiitake mushrooms, cut into slithers 1 carrot, cut into matchsticks 100g/3½oz shimeji mushrooms 200g/7oz soya beansprouts (or beansprouts) 50g/1¾oz sliced bamboo shoots 100g/3½oz enoki mushrooms 200g/7oz choi sum, ends trimmed and cut in half 500g/1lb 2oz chashu pork, about 16 slices  4 spring onion, cut on the diagonal  1 long red chilli, finely sliced on a diagonal 4 whole tomago eggs, halved  Japanese shop-bought chilli oil  shichimi togarashi (Japanese seven-spice seasoning) dried tuna flakes  ",japanese
"low-calorie cooking spray 5cm/2in piece fresh root ginger, chopped 3 garlic cloves, crushed pinch of crushed chillies 3 tbsp miso paste 2 tbsp lime juice 200g/7oz fine egg noodles 2 chicken breasts, 125g/4½oz each, thinly sliced 125g/4½oz  shiitake mushrooms, sliced 70g/2½oz baby sweetcorn, chopped 200g/7oz sugar-snap peas, halved 85g/3oz watercress, tough stems removed soy sauce, to serve ",japanese
