recipe,type
"2 large garlic cloves  1 chipotle chilli (available from some supermarkets or specialist food markets) ½ Spanish onion, roughly chopped 1 bunch coriander  1 tomato, peeled, quartered and seeds removed 50ml/2fl oz Mexican beer 300g/11oz canned peeled tomatoes, chopped salt and freshly ground black pepper 1 free-range organic chicken breast, sliced into strips 1 tbsp olive oil salt and freshly ground black pepper  200g/7oz sirloin steak 150g/5oz cooking chorizo, sliced lengthways 1 bunch spring onions, trimmed 4 tbsp sunflower oil ½ onion, roughly chopped 2 x 400g/14oz cans red kidney beans in water (drain and discard the water from one of the cans) 75ml/3fl oz chicken stock salt and freshly ground black pepper  8 flour or corn tortillas  ½ bunch coriander, roughly chopped 1 large avocado, peeled and sliced lengthways 1 lime ",mexican
"1 small onion oil, for cooking 600g/1lb 5oz skinless, boneless turkey breast or thigh 3 tsp Mexican seasoning, such as mild taco seasoning 2 tomatoes, halved 200g tin of sweetcorn, drained 200g/7oz grated cheese, such as Cheddar 4 large soft tortilla wraps 4 tbsp natural yoghurt, to serve ",mexican
"½ small onion, finely diced  200g/7oz tomatoes, diced 1 tbsp white wine vinegar  1 lime, zest only (juice used below) salt and pepper  1 x 400g/14oz tin Mexican-style bean mix or mixed beans in mild chilli sauce  200g/7oz frozen sweetcorn, defrosted  8 tortilla wraps  150g/5½oz long-grain rice, cooked according to the packet instructions or in a microwave (see tip) 1 lime, juice only (zest used above)  about 200g/7oz plain yoghurt  ",mexican
"1 tbsp coconut oil 2 onions, finely chopped 3 celery sticks, finely chopped 250g/9oz mushrooms, roughly chopped 5 garlic cloves, finely chopped 2 tsp chilli powder, or to taste 2 x 400g tins jackfruit in brine, drained and rinsed 500g/1lb 2oz tomato passata 400g tin plum tomatoes, squashed ½ tbsp tomato purée 1 tsp balsamic vinegar 1 tsp tomato ketchup 1 tsp caster sugar 400g tin butter beans, drained and rinsed 400g tin kidney beans, drained and rinsed 400g tin black-eyed beans, drained and rinsed 400g tin borlotti beans, drained and rinsed salt and freshly ground black pepper ",mexican
"100g/3½oz plain flour, plus extra for dusting 100g/3½oz plain wholemeal flour pinch salt drizzle oil ½ red onion, thinly sliced 1 red pepper, deseeded and thinly sliced ½ tsp ground allspice 1 tsp smoked paprika 1 tsp cumin seeds 2 sirloin steaks (approximately 200g/7oz each), fat removed, cut into bite-sized pieces or strips ½ tbsp olive oil 100ml/3½fl oz fat-free yoghurt 1 lime, juice only 1 tsp olive oil 2 garlic cloves, peeled and sliced 2 tsp cumin seeds 1 x 400g/14oz tin black beans, partially drained  2 ripe tomatoes, seeds removed and finely chopped ¼-½ red onion (depending on size), finely chopped 1 red chilli, finely chopped 1 lime, zest and juice  1 small iceberg lettuce, shredded ",mexican
"4 tbsp vegetable oil 500g/1lb 2oz good-quality braising steak, diced 500g/1lb 2oz good-quality beef mince 1 white onion, peeled, finely chopped 1 red onion, peeled, finely chopped 2 sticks celery, trimmed, chopped 1 dried chipotle chilli 1 tbsp dried chilli flakes ½ tbsp chilli powder 2 tsp dried oregano 3 tbsp light brown sugar 2 x 400g/14oz cans chopped tomatoes 500ml/17fl oz beef stock 1 x 400g/14oz can kidney beans, drained and rinsed 1 x 400g/14oz can black-eyed beans, drained and rinsed sea salt flakes and freshly ground black pepper 75g/3oz plain chocolate, minimum 70% cocoa solids, roughly chopped bunch fresh coriander steamed rice 8 tbsp soured cream 4 spring onions, trimmed, finely sliced ",mexican
"1 x 300–400g/10½oz–14oz beef cheek  4 tbsp olive oil 1 onion, roughly chopped 1 carrot, roughly chopped 1 stick celery, roughly chopped 1 bay leaf 200ml/7fl oz red wine 400ml/14fl oz beef stock 350g/12oz plain flour 1 tsp baking powder 175g/6oz salted butter, chilled 4 tbsp olive oil ½ onion, roughly chopped 1 garlic clove, finely chopped 1 dried red chilli, finely chopped 1 tsp smoked paprika 1 tsp cumin seeds 1 tbsp tomato purée 1 tbsp capers, drained 2 free-range eggs, beaten 4 heads sweetcorn, husk and silk removed 2 tbsp mayonnaise  1 tsp ground chipotle pepper 150g/5½oz cotija or feta cheese, crumbled ½ garlic clove, crushed 1 lime, juice only 2 spring onions, chopped 30g/1oz sliced jalapeños, to serve ",mexican
"1 tbsp olive oil, plus extra for greasing 500g/1lb 2oz beef mince  1 red onion, finely chopped 3 garlic cloves, crushed or grated 1 red chilli, chopped, plus extra to garnish 1 celery stick, finely chopped 1 beef stock cube 2–4 tbsp chipotle chilli paste 400g tin red kidney beans in chilli sauce 400g tin chopped tomatoes 4 tbsp chopped fresh coriander (leaves and stalks), plus extra to garnish 8 soft corn tortillas (regular size) 3 tbsp sliced red jalapeños in brine, drained 200g/7oz Cheddar, grated salt and freshly ground black pepper soured cream or crème fraîche, to serve (optional) ",mexican
"3 tbsp olive oil 1 large onion, finely sliced 2 cloves garlic, peeled and finely chopped 500g/1lb 2oz sirloin steak, cut into 1cm/½in cubes 1 tsp dried oregano 1 tsp ground cumin 1 tsp caster sugar 3 tbsp tomato purée salt and freshly ground black pepper  100ml/3½fl oz beef stock 2 tbsp chopped fresh coriander 8 ready-made flour tortillas 250g/9fl oz soured cream 1 tsp cayenne pepper 2 tbsp warm water 3 tbsp chopped fresh chives salad leaves of your choice squeeze lemon juice ",mexican
"5 large green tomatoes, quartered 1 medium white onion, quartered 4 green serrano chillies, destemmed and halved, seeds removed from 2 of the chillies.  4 garlic cloves, peeled 15 sprigs coriander 2 tbsp vegetable oil salt, to taste 8 large plum tomatoes, quartered 1 medium Spanish onion, sliced 2 red chillies, destemmed and halved 3 garlic cloves, peeled 4 tbsp extra virgin olive oil 2 dried guajillo chillies, roughly chopped  1 tbsp cumin seeds 1 tbsp coriander seeds ½ tsp smoked chipotle powder 2 sprigs coriander leaves, chopped 1 tbsp granulated sugar 1 lime, juice only salt and freshly ground black pepper to taste 100ml/3½fl oz corn oil 12 x 8cm/3¼in plain flour tortillas 1 tsp olive oil 300g/10½oz beef mince 1 tsp chilli powder 1 lime, zest and juice 1 red onion, diced 2 tbsp chopped fresh coriander 150g/5½oz salsa verde, from above  150g/5½oz salsa roja, from above  12 trimmed Little Gem lettuce leaves 150g/5½oz feta, crumbled 2 tbsp coriander cress salt and freshly ground black pepper ",mexican
"1–2 tbsp extra virgin olive oil 1 red onion, thinly sliced 1 tsp ground cumin 1½ tsp hot smoked paprika 400g tin chopped tomatoes 400g tin black beans in water, drained and rinsed 300g/10½oz sweet potatoes (1 large potato), scrubbed (do not peel) and cut into 2.5cm/1in chunks 198g can sweetcorn, drained 450g/1lb mushrooms 3 tbsp maple syrup flaked sea salt and freshly ground black pepper sliced avocado onion, thinly sliced  tomatoes, chopped  fresh coriander, chopped freshly cooked brown basmati and wild rice (optional) coconut yoghurt (optional) ",mexican
"250g/9oz blue corn tortilla flour (or maize flour if unavailable) 2 tbsp olive oil 1 onion, finely sliced 1 green jalapeño chilli, finely chopped or a good pinch dried chilli flakes 1 garlic clove, finely chopped 250g/9oz courgette flowers, Swiss chard or spinach, washed and shredded 200g/7oz mozzarella, grated  150g/5½oz Lancashire cheese, crumbled salt ",mexican
"60g/2¼oz mature cheddar, grated  salt and freshly ground black pepper 100g/3½oz dried black beans, soaked overnight in cold water 1 onion, halved 1 dried ancho chilli 2 garlic cloves, finely chopped 45g/1¾oz lard  175g/6oz plain flour, plus extra for dusting 35g/1¼oz cornmeal  1 tsp baking powder  150ml/5fl oz warm water 2 large tomatoes, flesh finely chopped, juice and seeds drained  ½ tsp caster sugar ½ lime, juice only 1½ large avocados, roughly chopped 1 large red hot chilli, finely chopped 2 tsp chopped fresh coriander  ½ lime, juice only 1 tsp olive oil  2 sun-dried tomatoes, finely chopped 1 jalapeño chilli, finely chopped  100ml/3½fl oz soured cream  1½ tsp olive oil 200g/7oz spicy cooking chorizo, roughly chopped  5 chestnut mushrooms, roughly chopped  2–3 tbsp chipotle sauce  40g/1½oz butter  4 large free-range eggs  ",mexican
"140g/5oz plain flour, plus extra for dusting 2 tsp caster sugar, plus extra to sprinkle ¼ tsp baking powder pinch salt 4 tbsp milk 1 free-range egg pinch anise seeds  sunflower oil, for deep frying  500g/1lb 2oz raspberries 1 eating apple, peeled, cored and diced 75g/2½oz icing sugar, plus extra for sprinkling squeeze lemon juice ",mexican
"300g/10½oz plain flour, plus extra for dusting 1 tsp baking powder 1 tbsp caster sugar ½ tsp salt 1 free-range egg, lightly beaten 1 tsp vanilla extract 15g/½oz butter, melted 700ml/1¼ pint corn or vegetable oil, for frying cinnamon sugar  300g/10½oz light brown soft sugar 8cm/3¼in cinnamon stick 2 strips orange peel 1 star anise 4 allspice berries 1 lime, juice only 1 orange, juice only pinch salt 1 tsp cornflour, mixed to a paste with 1 tbsp water 350g/12oz guavas, quartered, or 350g/12oz mango, peeled, stoned removed and cut into 4cm/1½in chunks ",mexican
