recipe,type
"125g/4½oz blanched almonds 75g/3oz granulated sugar olive oil, for oiling 600ml/1 pint double cream 2 free-range eggs, separated 100g/3½oz icing sugar, sifted 2 tbsp vodka 1 tbsp cherry syrup (optional) ",italian
"500g/1lb 2oz strong plain flour, plus extra for dusting  2 tsp salt 1 x 7g sachet of dried yeast 320ml/11fl oz lukewarm water dried breadcrumbs or semolina, for dusting 80g/3oz gruyère cheese, grated 250g/9oz crème fraîche salt and freshly ground black pepper 1 large red onion, thinly sliced 140g/5oz salami, cut into strips  marjoram leaves, to finish ",italian
"4 eggs, whites only (160g/6oz) 340g/12oz caster sugar 340g/12oz ground almonds 30ml/1fl oz amaretto liquor butter, for greasing ",italian
"150g/5½oz caster sugar 15g/½oz almonds 3 free-range egg whites 140g/5oz caster sugar  225ml/8fl oz double cream  ½ vanilla pod, split and seeds removed  2 tbsp amaretto  25g/1oz salted butter ½ vanilla pod, split and seeds removed  1 tbsp caster sugar  2 tbsp amaretto  2 ripe flat peaches, stones removed ",italian
"450g/1lb lean minced beef 450g/1lb minced pork 6 tbsp extra virgin olive oil 1x225g/8oz tub chicken livers 2 medium onion, finely chopped 4 fat garlic cloves, chopped 2 x 70g packs (or 140g/5oz) pancetta or streaky bacon, finely chopped 2 x 400g/14oz tins Italian chopped tomatoes 2 x 200g/7oz tubes double concentrate tomato purée 1 x 37.5cl half bottle red wine (or 400ml/14fl oz) 2 x 15g packs or 30g/1oz fresh basil ½ whole nutmeg, grated salt and freshly milled black pepper ",italian
"4 tbsp olive oil 500g/1lb 2oz beef sirloin steak 200g/7oz veal rump steak 1 onion, roughly chopped 2 carrots, roughly chopped 2 celery sticks, roughly chopped 2 tbsp tomato purée 2 bay leaves 300ml/10fl oz red wine 500ml/18fl oz chicken stock 100g/3¾oz fresh white breadcrumbs 250g/9oz Parmesan, finely grated  1 x 1.5–2kg/3lb 5oz–4lb 8oz whole chicken, preferably organic 500g/1lb 2oz beef shin 1 carrot, roughly chopped 1 onion, roughly chopped 1 celery stick, roughly chopped 1 garlic clove, chopped 400g/14oz '00' flour, plus extra for dusting 4 free-range eggs, beaten pinch salt ",italian
"225g/8oz streaky bacon, diced  175-200ml/6-7fl oz good olive oil  2 onions, finely diced 2 sticks celery, peeled and finely diced 2 carrots, peeled and finely sliced 5 cloves garlic, peeled and crushed with a little salt 2 tsp fresh soft thyme leaves 2 bay leaves 2 tsp dried oregano 2 x 400g/14oz cans chopped tomatoes 2 tbsp tomato purée 1 tbsp anchovy essence 2 tbsp Worcestershire sauce 1.8kg/4lb minced beef 250g/9oz fresh chicken livers, finely chopped 2 bottles dry red wine 1.7 litres/3 pints chicken, beef or lamb stock salt and freshly ground black pepper ",italian
"2 tbsp extra virgin olive oil 100g/3½oz cooked sweet potato, cut into small chunks 175g/6oz (around 3) cooked new potatoes, cut into small chunks 100g/3½oz (¼ head) broccoli, stem sliced and remainder cut into small florets ½ red pepper, seeds removed, cut into small chunks 1 leek, cut into chunks  handful (50g/1¾oz) frozen peas 1 red or green chilli, finely chopped (deseed first if you like) 100g/3½oz feta, roughly broken 6 large free-range eggs sea salt and freshly ground black pepper green salad leaves, to serve ",italian
"700ml/1 pint 5fl oz fruit alcohol, 40-80 per cent proof, or vodka 200g/7oz caster sugar 8 unwaxed lemons, zest and juice 250g/9oz plain flour 250g/9oz caster sugar 1½ tsp baking powder 3 medium free-range eggs, lightly beaten 50g/2oz dried sweetened strawberries, chopped  100g/3½oz dried apricots, chopped 50g/2oz medjool dates, stones removed, chopped 75g/2½oz pistachio nuts, shells removed 50g/2oz whole blanched almonds 50g/2oz hazelnuts, shells removed 1 lemon, zest only ",italian
"vegetable oil, for deep-frying 50g/1¾oz serrano or Parma ham, chopped 4 tbsp grated parmesan approximately 300g/10½oz leftover chilled cooked risotto 90g/3¼oz plain flour 2 free-range eggs, lightly beaten 75g/2½oz fresh breadcrumbs 50g/1¾oz cornflour 125ml/4½fl oz sparkling water 8 courgette flowers 1 lemon, cut into wedges ",italian
